Monitoring Station,Month,Rainfall,Year
"Mactan International Airport, Cebu",Aug,143.3,2021
"Malaybalay, Bukidnon",Aug,243.31,2021
"Masbate, Masbate",Aug,174.6,2021
"NAIA (MIA), Pasay City",Aug,85.0,2021
"Port Area (MCO), Manila",Aug,110.2,2021
"Puerto Princesa City, Palawan",Aug,135.2,2021
"Romblon, Romblon",Aug,220.1,2021
"Roxas City, Capiz",Aug,261.5,2021
"San Jose, Occidental Mindoro",Aug,248.0,2021
"Sangley Point, Cavite",Aug,136.4,2021
"Science Garden, Quezon City",Aug,251.1,2021
"Sinait, Ilocos Sur (former Vigan Station)",Aug,300.0,2021
"Surigao, Surigao Del Norte",Aug,158.8,2021
"Tagbilaran City, Bohol (Station was transferred to Dauis, Bohol)",Aug,,2021
"Tacloban City, Leyte",Aug,160.0,2021
"Tanay, Rizal",Aug,163.0,2021
"Tayabas, Quezon",Aug,199.6,2021
"Tuguegarao, Cagayan",Aug,91.0,2021
"Virac Synop, Catanduanes",Aug,306.2,2021
"Zamboanga, Zamboanga Del Sur",Aug,67.5,2021
"Alabat, Quezon",Sep,523.2,2021
"Ambulong, Batangas",Sep,295.7,2021
"Aparri, Cagayan",Sep,92.9,2021
"Baguio City, Benguet",Sep,431.9,2021
"Baler, Aurora (Radar)",Sep,243.1,2021
"Basco, Batanes (Radar)",Sep,753.7,2021
"Borongan, Eastern Samar",Sep,256.1,2021
"Butuan City, Agusan Del Norte",Sep,143.72,2021
"Cabanatuan, Nueva Ecija (Station was transferred to CLSU, Nueva Ecija)",Sep,,2021
"Calapan, Oriental Mindoro",Sep,376.7,2021
"Calayan, Cagayan",Sep,262.6,2021
"Casiguran, Aurora",Sep,201.8,2021
"Catarman, Northern Samar",Sep,194.6,2021
"Catbalogan, Western Samar",Sep,223.7,2021
"Clark International Airport, Pampanga",Sep,368.8,2021
"CLSU, Nueva Ecija",Sep,303.6,2021
"Coron, Palawan",Sep,,2021
"Cotabato City, Maguindanao",Sep,295.9,2021
